id,type,room,room_name,object,dutch,en
msg:0,message,any,,,Doe niet zo achterlijk..,Don't be so daft..
msg:1,message,any,,,Dat gaat niet.,That won't work.
msg:2,message,any,,,"Wou je dat met je blote handen proberen ??
Ik stel voor dat je wat gereedschap zoekt.","Were you going to try that with your bare hands ??
I suggest you find some tools."
msg:3,message,any,,,"Dat gaat niet, je zult het eerst moeten  pakken.","That won't work, you'll have to pick it up first."
msg:4,message,any,,,Dat zou ik niet doen als ik jou was.,I wouldn't do that if I were you.
msg:5,message,any,,,"Ja zeg, ik zeg dat als jij zegt dat ik dat
moet zeggen, dat ik dan zeg dat jij wil zeggen dat
ik zeggen moet zeggen.","Well now, I say that if you say that I should say that,
then I say that you want to say that I
must say to say."
msg:6,message,any,,,"Ik geloof niet dat ik je helemaal goed begrijp.
( Ik ben ook maar een klein kompjoetertje en m'n geheugen
is ook al niet zo best de laatste tijd )","I don't believe I quite understand you.
( I'm only a little compewter you know, and my memory
hasn't been so great lately either )"
msg:7,message,any,,,Ik geloof niet dat ik je helemaal goed begrijp.,I don't believe I quite understand you.
msg:8,message,any,,,Ik begrijp er helemaal niets van.,I can't make any sense of that at all.
msg:9,message,any,,,"Eh, wat bedoel je ?","Eh, what do you mean ?"
msg:10,message,any,,,Daar kan je niet heen.,You can't go there.
msg:11,message,0,Eigen huis,,Daar kan je niet bij. Het gat zit te hoog.,You can't reach that. The hole is too high up.
msg:12,message,7-10,Donker woud,,"De boom is te glad om in te klimmen en je kan de eerste takken
niet bereiken. Langzaam zak je omlaag...","The tree is too smooth to climb and you can't reach the first
branches. Slowly you slide back down..."
msg:13,message,20-21,Kasteel (ingang) / Kasteelhal,,"De zware buitendeur is gesloten en met geen mogelijkheid
meer open te krijgen.","The heavy outer door is shut and there is no way
left to get it open."
msg:14,message,30,Wenteltrap (vertikaal),lange ladder,"Welke ladder ?
",Which ladder ?
msg:15,message,30,Wenteltrap (vertikaal),,"Daar kan je niet bij, en de wand biedt geen
houvast.","You can't reach it, and the wall offers no
handhold."
msg:16,message,39,Gegraven gat,,"De steen waardoor je naar binnen kwam, slaat met een
slag dicht en is niet meer te onderscheiden.","The stone through which you came in slams
shut and can no longer be made out."
msg:17,message,37,Graftombe,,De steen is weer op zijn plaats geschoven.,The stone has slid back into place.
msg:18,message,any,,,Ik denk niet dat je daarheen kan.,I don't think you can go there.
msg:19,message,14,Zolder (herberg),,Er is niets stoffigs hier.,There is nothing dusty here.
msg:20,message,14,Zolder (herberg),dik gehavend boek,Onder het stof komt een boek tevoorschijn.,From under the dust a book appears.
msg:21,message,"2, 14, 29",Hal / Zolder (herberg) / Kasteeltoren,,Die is absoluut niet te tillen.,That is absolutely impossible to lift.
msg:22,message,any,,,"Dat wordt te zwaar, je zult eerst iets moeten laten
vallen.","That's getting too heavy, you'll have to drop
something first."
msg:23,message,any,,,Dat heb je helemaal niet bij je.,You aren't carrying that at all.
msg:24,message,any,,"fles melk (zonder statiegeld) / lege fles / fles water / fles gevuld met blauw,giftig water",De fles valt kapot op de grond.,The bottle shatters on the ground.
msg:25,message,0,Eigen huis,lange ladder,"De ladder reikt tot aan het gat en staat stevig
genoeg om te beklimmen.","The ladder reaches up to the hole and stands firmly
enough to climb."
msg:26,message,16,Heuvel,gouden duivelaarsmunt,"Als je de munt in de bron gooit verandert het
water van de bron in een vreemde blauwe kleur. Het
water borrelt nu veel heftiger dan eerst. Een zwarte schaduw
schiet over de bodem, maar het water wordt langzaam weer
iets meer helder.","When you throw the coin into the well the water
of the well turns a strange blue colour. The
water now bubbles far more fiercely than before. A black shadow
darts across the bottom, but the water slowly grows
a little clearer again."
msg:27,message,30,Wenteltrap (vertikaal),lange ladder,De ladder komt net tot aan het gat.,The ladder just reaches the hole.
msg:28,message,any,,,Ik zie helemaal geen bomen.,I don't see any trees at all.
msg:29,message,"7-10, 15, 17-18",various,botte bijl,De bijl is te bot geworden.,The axe has become too blunt.
msg:30,message,"7-10, 15, 17-18",various,stuk hout,Je kapt een groot stuk hout af.,You chop off a large piece of wood.
msg:31,message,36,Binnenplaats/kerkhof,,"Je graaft alleen enkele botten op, maar die vergruizen  onmiddellijk
als je ze aanraakt.","You only dig up a few bones, but they crumble to dust
the moment you touch them."
msg:32,message,any,,,De grond is te hard om te graven.,The ground is too hard to dig.
msg:33,message,"4-5, 39",Kelder / Zandtunnel / Gegraven gat,,Geef een richting waarheen je wilt graven.,Give a direction in which you want to dig.
msg:34,message,0,Eigen huis,lange ladder,Welke ladder bedoel je ?,Which ladder do you mean ?
